SITEVISITID,METHOD,OBS_YEAR,REGION,ISLAND,SITE,Site_Microbe,INHABITATION,DATE_,REEF_ZONE,DEPTH_BIN,LATITUDE,LONGITUDE,DEPTH(m),HARD CORAL (%),CCA (%),Calcifying (%),Macroalgae (%),Turf Algae (%),Fleshy (%),SAND (%),Viral abundance (VLP /ml),Bacterial abundance (Cells/ml),VLP:Microbe Ratio,Herbivore (g.m-2),Invertivore (g.m-2),Manta (g.m-2),Other (g.m-2),Planktivore (g.m-2),Piscivore (g.m-2),Shark (g.m-2),Dissolved inorganic carbon,Total Alkalinity,Temperature (DegC)
4300,nSPC,2012,PRIAs,Baker,BAK-00157,BAK11,Uninhabited,3/15/12,Forereef,Mid,0.20489428,-176.4763561,12.1,45,25,70,7.5,17.5,25,5,3392632.674,1089982.105,3.11255814,25.0817774,10.66370012,0,0,20.11627063,17.2200576,0,2011.776526,2315.07,27.4417
4239,nSPC,2012,PRIAs,Howland,HOW-00177,HOW05,Uninhabited,3/11/12,Forereef,Mid,0.80630212,-176.6215547,15,32.5,22.5,55,0,26,26,1.5,2841290.433,405809.4444,7.001538462,4.957839894,8.007472086,0,0,17.38727543,36.35677441,0,2005.376555,2315.75,26.9398
4240,nSPC,2012,PRIAs,Howland,HOW-00172,HOW12,Uninhabited,3/11/12,Forereef,Mid,0.80912691,-176.6221035,15,32.5,30,62.5,12.5,12.5,25,0,5747623.891,1511021.939,3.803799099,23.62248391,23.01690517,0,0.004301218,78.01044315,37.88897915,0,1997.328142,2310.16,27.4769
4243,nSPC,2012,PRIAs,Howland,HOW-00168,HOW14,Uninhabited,3/11/12,Forereef,Mid,0.81057597,-176.6225955,12,45,30,75,5,12.5,17.5,2.5,3708474,508109.1,7.298578199,16.94876437,7.602235914,0,0,48.52392541,59.44287635,0,2013.741484,2318.23,27.2874
4236,nSPC,2012,PRIAs,Howland,HOW-00161,HOW04,Uninhabited,3/11/12,Forereef,Mid,0.82282,-176.62477,13.7,37.5,17.5,55,10,30,40,5,2954979.51,1177560.9,2.509406953,6.424802886,7.252698845,1219.133089,0,20.69023081,26.55461939,0,2004.308551,2310.39,27.5282
4976,nSPC,2012,PRIAs,Palmyra,PAL-00229,PAL04,Uninhabited,5/14/12,Forereef,Mid,5.86659804,-162.1093181,9.65,30,27.5,57.5,12.5,10,22.5,10,5890057.239,1002598.194,5.874793388,23.25303936,16.37132272,0,0,23.37259668,44.54174164,0,1992.444152,2292.75,27.3026
4974,nSPC,2012,PRIAs,Palmyra,PAL-00255,PAL02,Uninhabited,5/14/12,Forereef,Mid,5.8714002,-162.125265,7.4,6.5,22.5,29,14,44.5,58.5,12.5,4167350.833,735808.3333,5.663636364,41.88557156,23.00466335,0,0.005535279,11.74200467,29.88804647,38.80752596,1998.641294,2297.17,27.255
4980,nSPC,2012,PRIAs,Palmyra,PAL-00261,PAL25,Uninhabited,5/14/12,Forereef,Mid,5.88333008,-162.1314664,12.15,10,30,40,27.5,27.5,55,5,5890057.24,735808.33,8.004879803,37.76465885,8.739711592,0,0,3.768776178,27.48683418,0,1979.03834,2262.49,27.4038
4908,nSPC,2012,PRIAs,Kingman,KIN-00202,KIN12,Uninhabited,5/10/12,Forereef,Mid,6.3802829,-162.4116502,10.05,30,16,46,6,18.5,24.5,2,6066589.654,1341593.73,4.521927555,36.86893976,60.30077672,0,0,58.53933983,107.621483,327.5526598,1994.495905,2300.68,27.3861
4893,nSPC,2012,PRIAs,Kingman,KIN-00204,KIN03,Uninhabited,5/9/12,Forereef,Mid,6.38161688,-162.376812,8.8,55,20,75,12.5,10,22.5,2.5,5943774.582,1230806.667,4.82916996,24.0721114,37.41717176,0,0,25.16696895,66.16593494,109.6866443,1993.252403,2293.77,27.2329
