SITEVISITID,METHOD,OBS_YEAR,REGION,ISLAND,SITE,Site_Microbe,INHABITATION,DATE_,REEF_ZONE,DEPTH_BIN,LATITUDE,LONGITUDE,DEPTH(m),HARD CORAL (%),CCA (%),Calcifying (%),Macroalgae (%),Turf Algae (%),Fleshy (%),SAND (%),Viral abundance (VLP /ml),Bacterial abundance (Cells/ml),VLP:Microbe Ratio,Herbivore (g.m-2),Invertivore (g.m-2),Manta (g.m-2),Other (g.m-2),Planktivore (g.m-2),Piscivore (g.m-2),Shark (g.m-2),Dissolved inorganic carbon,Total Alkalinity,Temperature (DegC)
7617,nSPC,2015,MHI,Oahu,OAH-02032,OAH1537,Inhabited,6/23/15,Forereef,Mid,21.259926,-157.768376,14.65,9,1,10,0,89,89,1,5631187.118,1016409.675,5.540273038,8.083651215,6.276716966,0,0,2.363423617,5.923682449,0,2001.783177,2317.35,26.0643
5082,nSPC,2012,MHI,Oahu,OAH-00297,OAH02,Inhabited,9/1/12,Forereef,Mid,21.39301185,-158.1704389,12.7,2,1,3,12,70.25,82.25,7.75,13494996.03,1040066.125,12.97513274,2.572551277,3.951050404,0,0,0.03081586,0,0,2003.701716,2308.02,26.1283
5089,nSPC,2012,MHI,Oahu,OAH-00311,OAHB3,Inhabited,9/2/12,Forereef,Mid,21.58391623,-158.2286423,7.9,2,1.5,3.5,15,69,84,12.5,13625050.32,2507347.091,5.434050343,0.194332705,5.443359137,0,0,0.041828466,0,0,1997.339581,2326.66,27.0619
6098,nSPC,2013,MHI,Niihau,NII-00204,NII05,Inhabited,8/14/13,Forereef,Mid,21.8239255,-160.1836979,9.35,3.5,0,3.5,24,47.5,71.5,25,11818980.1,1548396.8,7.633043478,0.542548618,2.866730683,0,0,3.372839894,0,0,1993.395682,2315.1,27.4433
7636,nSPC,2015,MHI,Kauai,KAU-01508,KAU1246,Inhabited,6/25/15,Forereef,Mid,21.880182,-159.512701,15.65,3,0,3,1,77.5,78.5,16,9185845.8,913778.7805,10.05259259,4.183993703,10.74511606,0,0,10.41256547,11.71898573,0,2019.765327,2304.63,26.3122
6094,nSPC,2013,MHI,Niihau,NII-00215,NII01,Inhabited,8/14/13,Forereef,Mid,21.88904199,-160.0838469,10.7,15,2.5,17.5,5,72.5,77.5,5,11433977.68,1942508.667,5.886191336,42.34924836,121.355718,0,0,8.98487788,25.68831744,0,1998.675115,2318.63,27.3866
7656,nSPC,2015,MHI,Kauai,KAU-01434,KAU1263,Inhabited,6/25/15,Forereef,Mid,21.889192,-159.564707,17.2,15,2.5,17.5,20,57.5,77.5,5,3571269.426,673488.8049,5.302641113,10.64229765,7.3377213,0,0,6.797946094,1.288479101,0,2006.856804,2328.02,26.5961
7646,nSPC,2015,MHI,Kauai,KAU-01453,KAU1363,Inhabited,6/25/15,Forereef,Mid,21.934028,-159.672369,11.95,22.5,2.5,25,2.5,72.5,75,0,4214550.798,402739.5366,10.46470588,8.87203324,7.248576226,0,0,44.10585242,2.524532241,0,2002.653165,2326.39,26.8288
6099,nSPC,2013,MHI,Niihau,NII-00199,NII09,Inhabited,8/14/13,Forereef,Mid,21.94092689,-160.0712682,15.95,5,6.5,11.5,8.5,65,73.5,15,10908581.68,1401130.8,7.785555556,3.59301706,5.141855262,0,0,0.865241399,0.178309917,0,2001.978076,2314.51,27.2519
6079,nSPC,2013,MHI,Kauai,KAU-00262,KAU13,Inhabited,8/13/13,Forereef,Mid,21.95562531,-159.3308719,15.15,1,7.5,8.5,37.5,46,83.5,8,7775644.8,1733005.25,4.486798179,0.033510466,2.524878954,0,0,0.070219362,5.057626425,0,2002.653165,2326.39,26.8288
7659,nSPC,2015,MHI,Niihau,NII-01357,NII1227,Inhabited,6/26/15,Forereef,Mid,21.959179,-160.145123,18,1.5,9.5,11,2.5,81.5,84,5,5581313.931,1188346.308,4.696706587,11.98250463,44.99944971,0,0,34.90094195,16.24026796,0,1996.140632,2315.91,27.5015
7690,nSPC,2015,MHI,Niihau,NII-01372,NII1303,Inhabited,6/27/15,Forereef,Mid,22.001977,-160.063237,9.2,20,10,30,0,58.5,58.5,11.5,4098940.86,809427.5,5.06,65.78528259,30.24293387,0,0,10.96012286,11.23111575,0,2001.474453,2313.03,27.2514
6077,nSPC,2013,MHI,Kauai,KAU-00248,KAU08,Inhabited,8/13/13,Forereef,Mid,22.04769499,-159.3101831,16.55,1,3,4,40,39.5,79.5,16,8213024.82,1714597,4.79006135,2.305416944,3.679268674,0,0,1.360266217,0,0,2011.971472,2316.55,26.6795
6075,nSPC,2013,MHI,Kauai,KAU-00253,KAU05,Inhabited,8/13/13,Forereef,Mid,22.14425225,-159.2887518,13.75,1,5.5,6.5,39.5,41.5,81,12.5,15419789.72,2669350.941,5.776606398,0.112705056,3.090621933,0,0,0.005912924,0.178309917,0,2000.970059,2315.32,26.9333
5370,nSPC,2012,NWHI,French Frigate,FFS-00181,FFS NCRMPI,Uninhabited,8/4/12,Forereef,Mid,23.6267287,-166.1098899,16.475,2,0,2,58.75,34.75,93.5,4.5,38609691.75,3779356.974,10.21594203,2.364478013,14.98672216,0,0,1.014818252,46.17497446,0,2001.684724,2317.92,27.5
5380,nSPC,2012,NWHI,French Frigate,FFS-00518,FFS1007,Uninhabited,8/4/12,Forereef,Mid,23.67762663,-166.0635147,18.925,5.5,0.5,6,32.5,54.75,87.25,6.75,14211056.35,932175.8462,15.24503817,2.955620202,5.755948292,0,0,2.577577719,15.89876014,0,1998.170728,2321.88,27.5747
5369,nSPC,2012,NWHI,French Frigate,FFS-00180,FFS NCRMPG,Uninhabited,8/4/12,Forereef,Mid,23.68082173,-166.2618219,15.75,80,12.5,92.5,0,7.5,7.5,0,6533357.968,712052.7632,9.175384615,20.51827222,145.2840648,0,0,5.42427854,96.73870579,45.66743865,2003.601293,2316.59,27.2132
7236,nSPC,2014,NWHI,French Frigate,FFS-04079,FFS1009,Uninhabited,8/14/14,Forereef,Mid,23.87405478,-166.3050114,14.7,30,11,41,1,48,49,10,9080463.965,1065069.081,8.525704225,14.949421,17.56235665,0,0,3.617732791,12.44925864,0,1984.869803,2291.06,28.1157
7238,nSPC,2014,NWHI,French Frigate,FFS-04020,FFS42,Uninhabited,8/14/14,Forereef,Mid,23.88059266,-166.2214484,16.3,4,3,7,6,85,91,2,14958220.2,1513133.857,9.88558952,3.50235931,4.170933216,0,0,0.023728043,28.40077085,0,1982.786662,2276.26,28.0631
5485,nSPC,2012,NWHI,Lisianski,LIS-00256,LIS54,Uninhabited,8/17/12,Forereef,Mid,25.94278635,-173.8884739,13.525,82.5,7.5,90,2.5,7.5,10,0,7128784.76,641006.25,9.89465909,16.09912824,9.561023579,0,0,7.140321723,308.6951752,0,1999.756343,2303.79,27.7747
5484,nSPC,2012,NWHI,Lisianski,LIS-00255,LIS52,Uninhabited,8/17/12,Forereef,Mid,25.95911982,-173.8922227,8.9,12.5,27.5,40,15,37.5,52.5,7.5,5496502.147,639259.4861,9.059925474,77.70333018,4.557254951,0,0,0.02155425,41.80471942,0,2007.204313,2296.6,27.8386
5482,nSPC,2012,NWHI,Lisianski,LIS-00253,LIS50,Uninhabited,8/17/12,Forereef,Mid,25.98250902,-173.8859632,7.65,15,10,25,10,52.5,62.5,12.5,15283610.06,1828149.825,8.360151803,68.04483425,7.892798484,0,0,0.316351739,28.58718225,0,1972.929674,2219.89,28.6406
7332,nSPC,2014,NWHI,Lisianski,LIS-04091,LIS51,Uninhabited,8/24/14,Forereef,Mid,25.99555705,-173.9882841,7.75,9,22.5,31.5,11,52.5,63.5,5,14816259.07,2031574.077,7.292994746,17.17068268,12.03434165,0,0,0.248451538,154.5437862,60.93761185,1974.079638,2217.95,28.7341
5446,nSPC,2012,NWHI,Pearl & Hermes,PHR-00373,PHR51,Uninhabited,8/12/12,Forereef,Mid,27.81871411,-175.7546867,10.1,16,37.5,53.5,15,22.5,37.5,9,9100976.923,1072843.976,8.483038662,4.347279164,10.286322,0,0,21.59705192,332.8831559,0,2003.844781,2330.27,27.14
5444,nSPC,2012,NWHI,Pearl & Hermes,PHR-00371,PHR50,Uninhabited,8/12/12,Forereef,Mid,27.8357505,-175.7496917,11.5,32.5,5,37.5,30,22.5,52.5,10,2995258.228,433198.8293,6.914280523,10.44075562,42.95712482,0,0,4.130157428,811.9396865,136.9291848,2001.827463,2328.53,27.1913
5420,nSPC,2012,NWHI,Pearl & Hermes,PHR-00363,PHR52,Uninhabited,8/11/12,Forereef,Mid,27.95935708,-175.8202119,17.875,12.5,62.5,75,17.5,7.5,25,0,4411568.114,883319.4878,4.994306335,30.06548936,9.668220358,0,0,1.962645854,12.61670537,0,1997.021014,2306.93,27.2229
5418,nSPC,2012,NWHI,Pearl & Hermes,PHR-00101,PHR54,Uninhabited,8/11/12,Forereef,Mid,27.96540471,-175.7865777,15.375,44,15,59,12.5,22.5,35,6,2794392.785,327328.9231,8.536956522,21.33462879,6.11085587,0,0,4.356026154,26.60946167,0,2001.559636,2322.24,27.7027
